Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2012-11-09,61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,FALSE
1,2012-11-16,52.92,3.252,9696.28,292.1,103.78,1133.15,6612.69,223.5129105,6.573,FALSE
1,2012-11-23,56.23,3.211,883.59,4.17,74910.32,209.91,303.32,223.5619474,6.573,TRUE
1,2012-11-30,52.34,3.207,2460.03,NA,3838.35,150.57,6966.34,223.6109842,6.573,FALSE
1,2012-12-07,64.12,3.198,6343.16,NA,270,2928.9,10147.9,223.6600211,6.573,FALSE
1,2012-12-14,48.89,3.168,3504.83,NA,73.26,1636.8,2779.6,223.7192767,6.573,FALSE
1,2012-12-21,56.02,3.098,8231.71,NA,274,358.15,2834.02,223.8398455,6.573,FALSE
1,2012-12-28,44.79,3.108,12659.55,37101.13,174.78,74.46,1208.86,223.9604143,6.573,TRUE
1,2013-01-04,41.73,3.161,1214.08,25366.33,15.01,72.36,3940.02,224.080983,6.525,FALSE
1,2013-01-11,50.32,3.243,6520.24,16134.6,12.17,774.55,4001.25,224.2015518,6.525,FALSE
